,,Election,Comm,issio,n,of Ind,ia - Gener,a,"l Elections, 1957 (2nd",LOK,SABHA),,,,
,,,,,,,,,,,,,,,
,,VO,TES,P,O,LL,ED I,,N STATES,BY,PARTI,ES,,,
,,,,,,,,,,,,,,,
,,,,,,,,,SEATS,,,V,OTES %,OF,
,,"STATE/UT,",NO O,F,,,,,CONT-,,SEATS FD,IN P,OLLED V,OTES,
,,CONSTITUEN,CIES,,,PART,Y,,ESTED RETIR,ED,WON SEA,TS BY,PARTY P,OLLED,
,,,,,RRP,,,4,,,0,4,,98138,0.43%
,,,,,,,,,,,,,,,
,,,,,IND,,,81,3,,9,37,,4918413,21.48%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes)292,3,,86,88,,22896103,
,,,,,,,,,,,,,,,
,West Ben,gal 28,,(,Single,Member,:,20 Double Memb,er,:,8 ),,,,
,,,,,,,,,,,,,,,
,,,,,BJS,,,5,,,0,3,,149351,1.43%
,,,,,,,,,,,,,,,
,,,,,CPI,,,14,,,6,0,,1985181,19.01%
,,,,,,,,,,,,,,,
,,,,,INC,,,35,,,23,0,,5031696,48.20%
,,,,,,,,,,,,,,,
,,,,,PSP,,,5,1,,2,1,,590692,5.66%
,,,,,,,,,,,,,,,
,,,,,FBM,,,5,,,2,0,,665341,6.37%
,,,,,,,,,,,,,,,
,,,,,HMS,,,7,,,0,2,,561741,5.38%
,,,,,,,,,,,,,,,
,,,,,IND,,,27,2,,3,15,,1456098,13.95%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes) 98,3,,36,21,,10440100,
,,,,,,,,,,,,,,,
,D,elhi 4,,(,Single,Member,:,3 Double Memb,er,:,1 ),,,,
,,,,,,,,,,,,,,,
,,,,,BJS,,,5,,,0,2,,159907,19.71%
,,,,,,,,,,,,,,,
,,,,,CPI,,,1,,,0,1,,38236,4.71%
,,,,,,,,,,,,,,,
,,,,,INC,,,5,,,5,0,,440775,54.33%
,,,,,,,,,,,,,,,
,,,,,PSP,,,1,,,0,0,,28656,3.53%
,,,,,,,,,,,,,,,
,,,,,SCF,,,1,,,0,1,,39086,4.82%
,,,,,,,,,,,,,,,
,,,,,IND,,,14,3,,0,16,,104684,12.90%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes) 27,3,,5,20,,811344,
,,,,,,,,,,,,,,,
,Himachal Prad,esh 3,,(,Single,Member,:,2 Double Memb,er,:,1 ),,,,
,,,,,,,,,,,,,,,
,,,,,BJS,,,0,1,,0,1,,0,0.00%
,,,,,,,,,,,,,,,
,,,,,CPI,,,1,1,,0,1,,9912,2.73%
,,,,,,,,,,,,,,,
,,,,,INC,,,4,,,4,0,,171591,47.32%
,,,,,,,,,,,,,,,
,,,,,PSP,,,1,,,0,0,,42838,11.81%
,,,,,,,,,,,,,,,
,,,,,SCF,,,1,,,0,0,,31079,8.57%
,,,,,,,,,,,,,,,
,,,,,IND,,,8,1,,0,7,,107221,29.57%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes) 15,3,,4,9,,362641,
,,,,,,,,,,,,,,,
ptVotesPo,lledinStates/UTsby,Parties -,Page,3,of 4),,,,,,,,44,,
"INDIA,",1957,,,V,OTES POL,LED IN,STATES BY,P,ARTIES,,,,,,
,,,,,,,,,,,,,,,
,,,,SEATS,,,,,VOTES %,OF,,,,,
", NO O",F,,,CONT-,,SEATS,FD IN,,POLLED V,OTES,,,,,
ENCIES,,,PARTY,ESTED,RETIRED,WON,SEATS,B,Y PARTY P,OLLED,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,,,2,3,4,5,6,,7,8,,,,,
,,,,,,,,,,,,,,,
