Election,"Commission of India - General Elections,",1996(11th LOK,SABHA),,,,,,,,
,,,,,,,,,,,
VOTES P,OLLED IN STAT,ES BY,PAR,TIES,,,,,,,
,,,,,,,,,,,
"STATE/UT,",,SEATS,,,VOTES,% OF,,,,,
NUMBER OF P,ARTY PARTY,CONT- SE,ATS F,D IN P,OLLED,VOTES,,,,,
CONSTITUENCIES,TYPE,ESTED W,ON SE,ATS BY,PARTY,POLLED,,,,,
,,,,,,,,,,,
1,2 3,4,5,6,7,8,,,,,
,,,,,,,,,,,
NDHRA PRADESH,42,,,,,,,,,,
,,,,,,,,,,,
,U,BAZP,1,0,1,457,0.01%,,,,
,,,,,,,,,,,
,U,BCVD,1,0,1,189,0.00%,,,,
,,,,,,,,,,,
,U,BKD(J),6,0,6,2225,0.06%,,,,
,,,,,,,,,,,
,U,BLPY,1,0,1,402,0.01%,,,,
,,,,,,,,,,,
,U,BLTMD,3,0,3,5075,0.13%,,,,
,,,,,,,,,,,
,U,BLTP,2,0,2,857,0.02%,,,,
,,,,,,,,,,,
,U,BPF,1,0,1,231,0.01%,,,,
,,,,,,,,,,,
,U,BPM,1,0,1,231,0.01%,,,,
,,,,,,,,,,,
,U,BRD,1,0,1,53,0.00%,,,,
,,,,,,,,,,,
,U,BSP(R),3,0,3,1471,0.04%,,,,
,,,,,,,,,,,
,U,BSVP,2,0,2,805,0.02%,,,,
,,,,,,,,,,,
,U,DBP,3,0,3,1148,0.03%,,,,
,,,,,,,,,,,
,U,ESP,5,0,5,1852,0.05%,,,,
,,,,,,,,,,,
,U,HNP,2,0,2,496,0.01%,,,,
,,,,,,,,,,,
,U,ISC,5,0,5,2060,0.05%,,,,
,,,,,,,,,,,
,U,IUML,1,0,1,96,0.00%,,,,
,,,,,,,,,,,
,U,JEM,1,0,1,94,0.00%,,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page 15 of,16),,,,15,0,,,,,
"ELECTIONS - INDIA, 1",996,,,,,,VO,TES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- S,EATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED,WON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
TIONAL CAPITAL,,7,,,,,,,,,
RITORY OF DELHI,,,,,,,,,,,
,,,,,,,,,,,
,,U,JSTP,,,,1,0,1,767,0.02%
,,,,,,,,,,,
,,U,LPI(V),,,,1,0,1,68,0.00%
,,,,,,,,,,,
,,U,MB,,,,1,0,1,295,0.01%
,,,,,,,,,,,
,,U,MSP,,,,1,0,1,74,0.00%
,,,,,,,,,,,
,,U,MSS,,,,1,0,1,182,0.00%
,,,,,,,,,,,
,,U,PHK,,,,2,0,2,1436,0.04%
,,,,,,,,,,,
,,U,PPNMS,,,,2,0,2,146,0.00%
,,,,,,,,,,,
,,U,PRC,,,,1,0,1,124,0.00%
,,,,,,,,,,,
,,U,RAM,,,,6,0,6,1325,0.03%
,,,,,,,,,,,
,,U,RMEP,,,,2,0,2,682,0.02%
,,,,,,,,,,,
,,U,RPI,,,,4,0,4,2570,0.06%
,,,,,,,,,,,
,,U,RSDP,,,,2,0,2,3360,0.08%
,,,,,,,,,,,
,,U,RUD,,,,2,0,2,3476,0.09%
,,,,,,,,,,,
,,U,SABJAN,,,,4,0,4,1007,0.03%
,,,,,,,,,,,
,,U,SMP,,,,4,0,4,2292,0.06%
,,,,,,,,,,,
,,Z,IND,,,,378,0,378,155215,3.86%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,523,7,509,4019824,
,,,,,,,,,,,
LAKSHADWEEP,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,15611,51.71%
,,,,,,,,,,,
,,N,JD,,,,1,0,0,14577,48.29%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,2,1,0,30188,
,,,,,,,,,,,
PONDICHERRY,,1,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,1,20351,4.42%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,183986,39.97%
,,,,,,,,,,,
,,N,JP,,,,1,0,1,1823,0.40%
,,,,,,,,,,,
,,S,BSP,,,,1,0,1,4005,0.87%
,,,,,,,,,,,
,,S,DMK,,,,1,0,0,183702,39.91%
,,,,,,,,,,,
,,S,ICS,,,,1,0,1,3819,0.83%
,,,,,,,,,,,
,,S,MDMK,,,,1,0,1,13397,2.91%
,,,,,,,,,,,
,,S,PMK,,,,1,0,1,19792,4.30%
,,,,,,,,,,,
,,Z,IND,,,,13,0,13,29447,6.40%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,21,1,19,460322,
,,,,,,,,,,,
,Gran,d Total,:,,,,13952,543,12688,334873286,
,,,,,,,,,,,
"Party, S - State Party, U -",Regis,tered (,Unrecognis,ed) P,"arty, Z",-,Independent,,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page,16 of,16),,,,,,,,151,
