Election,"Commission of India - General Elections,",1996(11th LOK,SABHA),,,,,,,,
,,,,,,,,,,,
VOTES P,OLLED IN STAT,ES BY,PAR,TIES,,,,,,,
,,,,,,,,,,,
"STATE/UT,",,SEATS,,,VOTES,% OF,,,,,
NUMBER OF P,ARTY PARTY,CONT- SE,ATS F,D IN P,OLLED,VOTES,,,,,
CONSTITUENCIES,TYPE,ESTED W,ON SE,ATS BY,PARTY,POLLED,,,,,
,,,,,,,,,,,
1,2 3,4,5,6,7,8,,,,,
,,,,,,,,,,,
NDHRA PRADESH,42,,,,,,,,,,
,,,,,,,,,,,
,U,ARS,1,0,1,6367,0.08%,,,,
,,,,,,,,,,,
,U,BKD(J),1,0,1,882,0.01%,,,,
,,,,,,,,,,,
,U,BLP,1,0,1,1900,0.02%,,,,
,,,,,,,,,,,
,U,JHM,2,0,2,9404,0.12%,,,,
,,,,,,,,,,,
,U,JPS,1,0,1,15112,0.20%,,,,
,,,,,,,,,,,
,U,JSTP,2,0,2,10134,0.13%,,,,
,,,,,,,,,,,
,U,PPNMS,1,0,1,889,0.01%,,,,
,,,,,,,,,,,
,U,RKD,1,0,1,520,0.01%,,,,
,,,,,,,,,,,
,U,RKP,1,0,1,3635,0.05%,,,,
,,,,,,,,,,,
,U,RPI,1,0,1,2332,0.03%,,,,
,,,,,,,,,,,
,Z,IND,210,1,209,780122,10.25%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",294,10,267,7611643,,,,,
,,,,,,,,,,,
ACHAL PRADESH,4,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),2,0,2,4435,0.22%,,,,
,,,,,,,,,,,
,N,BJP,4,0,0,800014,39.62%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,8383,0.42%,,,,
,,,,,,,,,,,
,N,CPM,1,0,1,19276,0.95%,,,,
,,,,,,,,,,,
,N,INC,4,4,0,1097007,54.33%,,,,
,,,,,,,,,,,
,N,JD,1,0,1,4381,0.22%,,,,
,,,,,,,,,,,
,N,JP,1,0,1,1797,0.09%,,,,
"ELECTIONS - INDIA, 1",996,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
ACHAL PRADESH,,4,,,,,,,,,
,,,,,,,,,,,
,,N,SAP,,,,1,0,1,754,0.04%
,,,,,,,,,,,
,,S,BSP,,,,2,0,2,13879,0.69%
,,,,,,,,,,,
,,S,ICS,,,,3,0,3,8048,0.40%
,,,,,,,,,,,
,,S,SHS,,,,2,0,2,2741,0.14%
,,,,,,,,,,,
,,S,SP,,,,2,0,2,14480,0.72%
,,,,,,,,,,,
,,U,RNP,,,,2,0,2,13160,0.65%
,,,,,,,,,,,
,,Z,IND,,,,28,0,28,30742,1.52%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,54,4,46,2019097,
,,,,,,,,,,,
MMU & KASHMIR,,6,,,,,,,,,
,,,,,,,,,,,
,,N,AIIC(T),,,,3,0,3,17276,0.83%
,,,,,,,,,,,
,,N,BJP,,,,5,1,3,395300,19.04%
,,,,,,,,,,,
,,N,INC,,,,6,4,1,569942,27.46%
,,,,,,,,,,,
,,N,JD,,,,5,1,2,366074,17.63%
,,,,,,,,,,,
,,S,BSP,,,,2,0,2,123591,5.95%
,,,,,,,,,,,
,,S,JPP,,,,5,0,5,99599,4.80%
,,,,,,,,,,,
,,Z,IND,,,,84,0,83,504098,24.28%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,110,6,99,2075880,
,,,,,,,,,,,
KARNATAKA,,28,,,,,,,,,
,,,,,,,,,,,
,,N,AIIC(T),,,,8,0,8,45628,0.24%
,,,,,,,,,,,
,,N,BJP,,,,28,6,8,4649598,24.85%
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,71086,0.38%
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,71023,0.38%
,,,,,,,,,,,
,,N,INC,,,,28,5,4,5668988,30.29%
,,,,,,,,,,,
,,N,JD,,,,27,16,1,6533204,34.91%
,,,,,,,,,,,
,,N,JP,,,,5,0,5,38182,0.20%
,,,,,,,,,,,
,,S,BSP,,,,3,0,3,27257,0.15%
,,,,,,,,,,,
,,S,KCP,,,,11,1,10,581868,3.11%
,,,,,,,,,,,
,,S,SHS,,,,1,0,1,673,0.00%
,,,,,,,,,,,
,,S,SP,,,,1,0,0,127161,0.68%
,,,,,,,,,,,
,,U,BNJP,,,,2,0,2,2024,0.01%
,,,,,,,,,,,
,,U,KCVP,,,,2,0,2,31136,0.17%
,,,,,,,,,,,
,,U,KP,,,,1,0,1,648,0.00%
,,,,,,,,,,,
,,U,PHK,,,,2,0,2,745,0.00%
,,,,,,,,,,,
,,U,PSSS,,,,2,0,2,8224,0.04%
,,,,,,,,,,,
,,U,SUP,,,,1,0,1,4917,0.03%
,,,,,,,,,,,
,,U,UIDC,,,,1,0,1,374,0.00%
,,,,,,,,,,,
,,Z,IND,,,,853,0,852,851630,4.55%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,978,28,905,18714366,
,,,,,,,,,,,
KERALA,,20,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,18,0,18,807607,5.61%
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
KERALA 2,0,,,,,,,,,,
,,,,,,,,,,,
,N,CPI,4,2,0,1182944,8.22%,,,,
,,,,,,,,,,,
,N,CPM,9,5,0,3044369,21.16%,,,,
,,,,,,,,,,,
,N,INC,17,7,0,5467132,38.01%,,,,
,,,,,,,,,,,
,N,JD,2,1,0,633104,4.40%,,,,
,,,,,,,,,,,
,N,JP,6,0,6,13557,0.09%,,,,
,,,,,,,,,,,
,N,SAP,1,0,1,721,0.01%,,,,
,,,,,,,,,,,
,S,BSP,3,0,3,22139,0.15%,,,,
,,,,,,,,,,,
,S,FBL,1,0,1,12837,0.09%,,,,
,,,,,,,,,,,
,S,ICS,1,0,0,332622,2.31%,,,,
,,,,,,,,,,,
,S,KEC(M),1,1,0,382319,2.66%,,,,
,,,,,,,,,,,
,S,MUL,2,2,0,730809,5.08%,,,,
,,,,,,,,,,,
,S,RSP,1,1,0,359786,2.50%,,,,
,,,,,,,,,,,
,S,SHS,3,0,3,5609,0.04%,,,,
,,,,,,,,,,,
,U,INL,1,0,1,1354,0.01%,,,,
,,,,,,,,,,,
,U,KEC,1,0,0,320539,2.23%,,,,
,,,,,,,,,,,
,U,PDP,7,0,7,64950,0.45%,,,,
,,,,,,,,,,,
,Z,IND,154,1,152,1002198,6.97%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",232,20,192,14384596,,,,,
,,,,,,,,,,,
ADHYA PRADESH 4,0,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),33,1,31,1078589,4.70%,,,,
,,,,,,,,,,,
,N,BJP,39,27,0,9472940,41.32%,,,,
,,,,,,,,,,,
,N,CPI,4,0,4,168448,0.73%,,,,
,,,,,,,,,,,
,N,CPM,1,0,1,12175,0.05%,,,,
,,,,,,,,,,,
,N,INC,40,8,4,7111753,31.02%,,,,
,,,,,,,,,,,
,N,JD,8,0,8,241119,1.05%,,,,
,,,,,,,,,,,
,N,JP,7,0,7,18522,0.08%,,,,
,,,,,,,,,,,
,N,SAP,4,0,4,12759,0.06%,,,,
,,,,,,,,,,,
,S,BSP,28,2,22,1874594,8.18%,,,,
,,,,,,,,,,,
,S,ICS,2,0,2,2460,0.01%,,,,
,,,,,,,,,,,
,S,SHS,10,0,10,32919,0.14%,,,,
,,,,,,,,,,,
,S,SP,3,0,3,19240,0.08%,,,,
,,,,,,,,,,,
,U,ABHM,2,0,2,1082,0.00%,,,,
,,,,,,,,,,,
,U,BKD,1,0,1,278,0.00%,,,,
,,,,,,,,,,,
,U,BKUS,1,0,1,2496,0.01%,,,,
,,,,,,,,,,,
,U,BMRD,1,0,1,2796,0.01%,,,,
,,,,,,,,,,,
,U,CMM,3,0,3,60361,0.26%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),2,0,2,1598,0.01%,,,,
,,,,,,,,,,,
,U,GGP,1,0,1,9985,0.04%,,,,
,,,,,,,,,,,
,U,KSM,2,0,1,113975,0.50%,,,,
,,,,,,,,,,,
,U,LD,2,0,2,1823,0.01%,,,,
,,,,,,,,,,,
,U,MKVP,2,0,2,11152,0.05%,,,,
