Electi,on Com,missio,n of India -,Gene,ral Ele,ctions,", 1977(6th LOK",SABHA),,,
,,,,,,,,,,,
VOTES,PO,LL,ED I,N,ST,AT,ES BY,PART,IES,,
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES
CONSTITUENCIES,TY,PE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,3,1,0,24131,
,,,,,,,,,,,
TIONAL CAPITAL,,7,,,,,,,,,
RITORY OF DELHI,,,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,7,7,0,1225289,68.15%
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,6407,0.36%
,,,,,,,,,,,
,,N,INC,,,,7,0,0,542145,30.15%
,,,,,,,,,,,
,,U,RPI,,,,1,0,1,3748,0.21%
,,,,,,,,,,,
,,U,RRP,,,,1,0,1,1750,0.10%
,,,,,,,,,,,
,,Z,IND,,,,24,0,24,18656,1.04%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,41,7,27,1797995,
,,,,,,,,,,,
LAKSHADWEEP,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,9600,58.59%
,,,,,,,,,,,
,,Z,IND,,,,1,0,0,6786,41.41%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,2,1,0,16386,
,,,,,,,,,,,
PONDICHERRY,,1,,,,,,,,,
,,,,,,,,,,,
,,N,NCO,,,,1,0,0,96101,44.44%
,,,,,,,,,,,
,,S,ADK,,,,1,1,0,115302,53.32%
"ELECTIONS - INDIA, 1",977,,VO,TES,POLLED IN ST,ATES B,,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,,,,,
NUMBER OF,PARTY,PARTY,CONT- S,EATS,FD IN P,OLLED,,,,,
CONSTITUENCIES,TYPE,,ESTED,WON,SEATS BY,PARTY,,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,,,,,
,,,,,,,,,,,
PONDICHERRY,1,,,,,,,,,,
,,,,,,,,,,,
,Z,IND,2,0,2,4841,,,,,
,,,,,,,,,,,
"State/UT total (Contestants,","Seats Won, F","D in Seats, Valid Votes) :",4,1,2,216244,,,,,
,,,,,,,,,,,
,Grand Total,:,2439,542,1356,188917504,,,,,
,,,,,,,,,,,
"Party, S - State Party, U -",Registered (,"Unrecognised) Party, Z -",Independent,,,,,,,,
