"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED,,
,,N,JNP,,,,41,4,3,3982608,31.59%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,29,0,24,944599,7.49%,,
,,,,,,,,,,,,,
,,U,RPK,,,,4,0,4,49031,0.39%,,
,,,,,,,,,,,,,
,,U,RRP,,,,2,0,2,12202,0.10%,,
,,,,,,,,,,,,,
,,Z,IND,,,,227,1,225,1423861,11.30%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,359,40,275,12605869,,,
"ELECTIONS - INDIA, 1",980,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,
,,,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED,,
,,,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8,,
,,,,,,,,,,,,,
MAHARASHTRA,,48,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,2,0,2,91844,0.50%,,
,,,,,,,,,,,,,
,,N,CPM,,,,4,0,2,251580,1.36%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,48,39,0,9855580,53.30%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,24,1,5,2182905,11.81%,,
,,,,,,,,,,,,,
,,N,JNP,,,,31,8,6,3775860,20.42%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,17,0,17,196187,1.06%,,
,,,,,,,,,,,,,
,,S,FBL,,,,1,0,1,4253,0.02%,,
,,,,,,,,,,,,,
,,S,PWP,,,,5,0,1,470567,2.54%,,
,,,,,,,,,,,,,
,,U,BSP,,,,5,0,5,8529,0.05%,,
,,,,,,,,,,,,,
,,U,RPI,,,,23,0,22,320879,1.74%,,
,,,,,,,,,,,,,
,,U,RPK,,,,7,0,5,281597,1.52%,,
,,,,,,,,,,,,,
,,U,SHS,,,,2,0,1,129351,0.70%,,
,,,,,,,,,,,,,
,,Z,IND,,,,246,0,244,920752,4.98%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,415,48,311,18489884,,,
,,,,,,,,,,,,,
MANIPUR,,2,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,1,1,0,69670,9.74%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,2,1,1,164473,22.99%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,2,0,1,118566,16.57%,,
,,,,,,,,,,,,,
,,N,JNP,,,,2,0,1,125778,17.58%,,
,,,,,,,,,,,,,
,,S,MRP,,,,1,0,1,49277,6.89%,,
,,,,,,,,,,,,,
,,Z,IND,,,,7,0,6,187660,26.23%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,15,2,10,715424,,,
,,,,,,,,,,,,,
MEGHALAYA,,2,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,1,0,1,6955,6.28%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,1,1,0,82307,74.31%,,
,,,,,,,,,,,,,
,,S,AHL,,,,1,0,1,13058,11.79%,,
,,,,,,,,,,,,,
,,Z,IND,,,,1,0,1,8440,7.62%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,4,1,3,110760,,,
,,,,,,,,,,,,,
MIZORAM,,1,,,,,,,,,,,
,,,,,,,,,,,,,
,,S,PPC,,,,1,0,0,53891,42.00%,,
,,,,,,,,,,,,,
,,Z,IND,,,,1,1,0,74430,58.00%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,2,1,0,128321,,,
,,,,,,,,,,,,,
NAGALAND,,1,,,,,,,,,,,
,,,,,,,,,,,,,
,,S,UDF,,,,1,0,0,140210,48.99%,,
,,,,,,,,,,,,,
,,Z,IND,,,,1,1,0,145969,51.01%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,2,1,0,286179,,,
,,,,,,,,,,,,,
ORISSA,,21,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,1,0,1,48907,0.79%,,
,,,,,,,,,,,,,
,,N,CPM,,,,1,0,0,54527,0.89%,,
ELECTI,ON,"S - INDIA, 1",980,,,,,,VOT,ES,POLLED IN STA,TES BY,PARTIES
,,,,,,,,,,,,,
,STA,"TE/UT,",,,,,,,SEATS,,V,OTES,% OF
N,UM,BER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONST,ITU,ENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,,,
,,1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,,,
,,ORISSA,,21,,,,,,,,,
,,,,,,,,,,,,,
,,,,N,INC(I),,,,21,20,0,3451255,56.07%
,,,,,,,,,,,,,
,,,,N,INC(U),,,,5,0,4,131555,2.14%
,,,,,,,,,,,,,
,,,,N,JNP,,,,20,0,14,868441,14.11%
,,,,,,,,,,,,,
,,,,N,JNP(S),,,,18,1,3,1206487,19.60%
,,,,,,,,,,,,,
,,,,S,FBL,,,,2,0,2,15022,0.24%
,,,,,,,,,,,,,
,,,,U,JKD,,,,5,0,5,61881,1.01%
,,,,,,,,,,,,,
,,,,U,SUC,,,,2,0,2,25682,0.42%
,,,,,,,,,,,,,
,,,,Z,IND,,,,35,0,35,291411,4.73%
,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,110,21,66,6155168,
,,,,,,,,,,,,,
,,PUNJAB,,13,,,,,,,,,
,,,,,,,,,,,,,
,,,,N,CPI,,,,1,0,0,75994,1.27%
,,,,,,,,,,,,,
,,,,N,CPM,,,,1,0,0,151269,2.53%
,,,,,,,,,,,,,
,,,,N,INC(I),,,,13,12,0,3133473,52.45%
,,,,,,,,,,,,,
,,,,N,INC(U),,,,2,0,1,152647,2.56%
,,,,,,,,,,,,,
,,,,N,JNP,,,,9,0,5,595491,9.97%
,,,,,,,,,,,,,
,,,,N,JNP(S),,,,3,0,2,131951,2.21%
,,,,,,,,,,,,,
,,,,S,SAD,,,,7,1,0,1396412,23.37%
,,,,,,,,,,,,,
,,,,U,BSP,,,,1,0,1,4249,0.07%
,,,,,,,,,,,,,
,,,,U,ILP,,,,4,0,4,13103,0.22%
,,,,,,,,,,,,,
,,,,U,RPI,,,,1,0,1,2264,0.04%
,,,,,,,,,,,,,
,,,,Z,IND,,,,105,0,105,317185,5.31%
,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,147,13,119,5974038,
,,,,,,,,,,,,,
R,AJ,ASTHAN,,25,,,,,,,,,
,,,,,,,,,,,,,
,,,,N,CPI,,,,1,0,1,51524,0.54%
,,,,,,,,,,,,,
,,,,N,CPM,,,,1,0,1,21778,0.23%
,,,,,,,,,,,,,
,,,,N,INC(I),,,,25,18,0,4040398,42.64%
,,,,,,,,,,,,,
,,,,N,INC(U),,,,12,1,9,566318,5.98%
,,,,,,,,,,,,,
,,,,N,JNP,,,,25,4,1,2999170,31.65%
,,,,,,,,,,,,,
,,,,N,JNP(S),,,,16,2,7,1140571,12.04%
,,,,,,,,,,,,,
,,,,U,BSP,,,,2,0,2,2810,0.03%
,,,,,,,,,,,,,
,,,,U,RRP,,,,1,0,1,12290,0.13%
,,,,,,,,,,,,,
,,,,Z,IND,,,,169,0,169,640120,6.76%
,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,252,25,191,9474979,
,,,,,,,,,,,,,
,,SIKKIM,,1,,,,,,,,,
,,,,,,,,,,,,,
,,,,N,INC(U),,,,1,0,1,943,1.83%
,,,,,,,,,,,,,
,,,,S,SCR,,,,1,0,0,11632,22.59%
,,,,,,,,,,,,,
,,,,S,SJP,,,,1,1,0,31750,61.65%
,,,,,,,,,,,,,
,,,,U,SPC,,,,1,0,1,5125,9.95%
,,,,,,,,,,,,,
,,,,Z,IND,,,,3,0,3,2053,3.99%
,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,7,1,5,51503,
"ELECTIONS - INDIA, 1",980,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,
,,,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED,,
,,,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8,,
,,,,,,,,,,,,,
TAMIL NADU,,39,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,3,0,0,660940,3.59%,,
,,,,,,,,,,,,,
,,N,CPM,,,,3,0,0,591869,3.21%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,22,20,0,5821411,31.62%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,10,0,10,41617,0.23%,,
,,,,,,,,,,,,,
,,N,JNP,,,,9,0,0,1465782,7.96%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,13,0,13,98729,0.54%,,
,,,,,,,,,,,,,
,,S,ADK,,,,24,2,0,4674064,25.38%,,
,,,,,,,,,,,,,
,,S,DMK,,,,16,16,0,4236537,23.01%,,
,,,,,,,,,,,,,
,,U,RPI,,,,2,0,2,9497,0.05%,,
,,,,,,,,,,,,,
,,Z,IND,,,,146,1,144,812298,4.41%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,248,39,169,18412744,,,
,,,,,,,,,,,,,
TRIPURA,,2,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPM,,,,2,2,0,394534,47.50%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,2,0,1,187809,22.61%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,1,0,1,4639,0.56%,,
,,,,,,,,,,,,,
,,N,JNP,,,,2,0,2,8052,0.97%,,
,,,,,,,,,,,,,
,,S,TUS,,,,2,0,2,111953,13.48%,,
,,,,,,,,,,,,,
,,Z,IND,,,,2,0,1,123608,14.88%,,
,,,,,,,,,,,,,
