,,Election Co,mmission,,of India -,General E,"lections, 1951 (",1st,LOK S,ABH,A),,,,,
,,,,,,,,,,,,,,,,
,,VOTE,S PO,,LLE,D IN,STATE,S,BY,PA,R,TIES,,,,
,,,,,,,,,,,,,,,,
,,,,,,,SEATS,,,,V,OTES %,OF,,,
,,"STATE/UT, NO",OF,,,,CONT- SEA,TS,FD,IN,P,OLLED V,OTES,,,
,,CONSTITUENC,IES,P,ARTY,,ESTED WO,N,SEA,TS,BY,PARTY P,OLLED,,,
,,,,,,,,,,,,,,,,
,,CONSTITU,ENCI,ES,P,ARTY,,,ESTED WO,N SE,A,TS,,BY,PARTY P,OLLED
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,,,2,,,3 4,,,5,,,6,7
,,,,,,,,,,,,,,,,
,,Hyderab,ad 2,1,(,Single Me,mber,:,17 Double M,ember,:,4,),,,
,,,,,,,,,,,,,,,,
,,,,,,PWP,,,2,1,,0,,,185168,3.81%
,,,,,,,,,,,,,,,,
,,,,,,IND,,,15,1,,9,,,388939,8.01%
,,,,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won, F",D,"in Seats,",Valid,Vot,es) 72,25,,18,,,4854862,
,,,,,,,,,,,,,,,,
,,Madhya Bha,rat 9,,(,Single Me,mber,:,7 Double M,ember,:,2,),,,
,,,,,,,,,,,,,,,,
,,,,,,BJS,,,4,0,,0,,,188569,9.65%
,,,,,,,,,,,,,,,,
,,,,,,CPI,,,2,0,,2,,,24716,1.27%
,,,,,,,,,,,,,,,,
,,,,,,HMS,,,2,2,,0,,,122213,6.26%
,,,,,,,,,,,,,,,,
,,,,,,INC,,,11,9,,0,,,992159,50.79%
,,,,,,,,,,,,,,,,
,,,,,,KMPP,,,1,0,,1,,,4648,0.24%
,,,,,,,,,,,,,,,,
,,,,,,RRP,,,4,0,,0,,,278475,14.25%
,,,,,,,,,,,,,,,,
,,,,,,SP,,,8,0,,4,,,268399,13.74%
,,,,,,,,,,,,,,,,
,,,,,,IND,,,6,0,,6,,,74392,3.81%
,,,,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won, F",D,"in Seats,",Valid,Vot,es) 38,11,,13,,,1953571,
,,,,,,,,,,,,,,,,
