Election Comm,issio,"n of India - General Elections,",1971 (5th LOK,SABHA),,,,,,,
,,,,,,,,,,,
VOTES PO,LL,ED IN STAT,ES BY,PART,IES,,,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS FD,IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
Andhra Pradesh 4,1,,,,,,,,,,
,,,,,,,,,,,
,,N,BJS,,,,1,0,1,3944,0.02%
"ELECTIONS - INDIA, 1971",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
Tamil Nadu 3,9,,,,,,,,,,
,,,,,,,,,,,
,N,CPI,4,4,0,866399,5.43%,,,,
,,,,,,,,,,,
,N,CPM,6,0,6,260833,1.64%,,,,
,,,,,,,,,,,
,N,INC,9,9,0,1995567,12.51%,,,,
,,,,,,,,,,,
,N,NCO,29,1,0,4853534,30.43%,,,,
,,,,,,,,,,,
,N,SSP,1,0,0,141605,0.89%,,,,
,,,,,,,,,,,
,N,SWA,9,0,0,1479693,9.28%,,,,
,,,,,,,,,,,
,S,DMK,24,23,0,5622758,35.25%,,,,
,,,,,,,,,,,
,S,FBL,1,1,0,208431,1.31%,,,,
,,,,,,,,,,,
,Z,IND,27,1,26,516448,3.24%,,,,
,,,,,,,,,,,
"tate/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",111,39,33,15949212,,,,,
,,,,,,,,,,,
Uttar Pradesh 8,5,,,,,,,,,,
,,,,,,,,,,,
,N,BJS,37,4,4,2514615,12.23%,,,,
,,,,,,,,,,,
,N,CPI,9,4,4,760686,3.70%,,,,
,,,,,,,,,,,
,N,CPM,3,0,2,39821,0.19%,,,,
,,,,,,,,,,,
,N,INC,78,73,0,9981309,48.54%,,,,
,,,,,,,,,,,
,N,NCO,44,1,22,1769147,8.60%,,,,
,,,,,,,,,,,
,N,PSP,7,0,7,47334,0.23%,,,,
,,,,,,,,,,,
,N,SSP,25,0,16,843668,4.10%,,,,
,,,,,,,,,,,
,N,SWA,3,0,3,9578,0.05%,,,,
,,,,,,,,,,,
,S,BKD,67,1,42,2610518,12.70%,,,,
,,,,,,,,,,,
,S,FBL,4,0,4,15736,0.08%,,,,
,,,,,,,,,,,
,S,MUL,2,0,2,8909,0.04%,,,,
,,,,,,,,,,,
,S,VHP,1,0,1,3337,0.02%,,,,
,,,,,,,,,,,
,U,HMS,2,0,2,14738,0.07%,,,,
,,,,,,,,,,,
,U,ISP,1,0,1,2205,0.01%,,,,
,,,,,,,,,,,
,U,KMP,3,0,3,31729,0.15%,,,,
,,,,,,,,,,,
,U,MUM,6,0,6,36526,0.18%,,,,
,,,,,,,,,,,
,U,PBI,4,0,4,17249,0.08%,,,,
,,,,,,,,,,,
,U,RPA,3,0,3,22428,0.11%,,,,
,,,,,,,,,,,
,U,RPK,6,0,6,38746,0.19%,,,,
,,,,,,,,,,,
,U,RRP,3,0,3,12557,0.06%,,,,
,,,,,,,,,,,
,U,RSM,2,0,2,5350,0.03%,,,,
,,,,,,,,,,,
,U,SOC,2,0,2,48483,0.24%,,,,
,,,,,,,,,,,
,Z,IND,231,2,225,1727175,8.40%,,,,
,,,,,,,,,,,
"tate/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",543,85,364,20561844,,,,,
,,,,,,,,,,,
West Bengal 4,0,,,,,,,,,,
,,,,,,,,,,,
,N,BJS,4,0,4,111675,0.85%,,,,
,,,,,,,,,,,
,N,CPI,15,3,4,1378813,10.54%,,,,
,,,,,,,,,,,
,N,CPM,38,20,3,4485105,34.29%,,,,
,,,,,,,,,,,
,N,INC,31,13,1,3687665,28.20%,,,,
,,,,,,,,,,,
,N,NCO,34,0,30,917947,7.02%,,,,
"ELECTIONS - INDIA, 1",971,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,TY,PE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
