VOTES,PO,LL,ED,IN STAT,ES BY,PA,RTIES,,,,,,
,,,,,,,,,,,,,
dinStates/UTsbyParties - Pag,e 7 of 8),,,,,,,,98,,,,
,,SEATS,,VO,TES,% OF,,,,,,,
Y,PARTY,CONT- S,EATS FD,IN PO,LLED,VOTES,,,,,,,
E,,ESTED,WON SEA,TS BY P,ARTY,POLLED,,,,,,,
,,,,,,,,,,,,,
2,3,4,5,6,7,8,,,,,,,
,,,,,,,,,,,,,
6,,,,,,,,,,,,,
,,,,,,,,,,,,,
N,CPI,1,0,1,16205,2.09%,,,,,,,
,,,,,,,,,,,,,
N,CPM,1,0,1,4355,0.56%,,,,,,,
,,,,,,,,,,,,,
N,INC,6,6,0,375578,48.35%,,,,,,,
,,,,,,,,,,,,,
N,PSP,1,0,1,5360,0.69%,,,,,,,
,,,,,,,,,,,,,
N,SWA,1,0,0,34502,4.44%,,,,,,,
,,,S,RPI,,,,1,0,1,18102,2.33%,
,,,,,,,,,,,,,
,,,Z,IND,,,,11,0,8,174600,22.48%,
,,,,,,,,,,,,,
State/UT,"total (Contestants,",Seats,"Won, FD","in Seats,",Valid,Votes),:,25,6,12,776764,,
,,,,,,,,,,,,,
"Laccadive,",Minicoy And,,1,,,,,,,,,,
Am,indivi Islands,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Z,IND,,,,5,1,2,11807,100.00%,
,,,,,,,,,,,,,
State/UT,"total (Contestants,",Seats,"Won, FD","in Seats,",Valid,Votes),:,5,1,2,11807,,
,,,,,,,,,,,,,
,Manipur,,2,,,,,,,,,,
,,,,,,,,,,,,,
,,,N,CPI,,,,1,1,0,91131,28.92%,
,,,,,,,,,,,,,
,,,N,INC,,,,2,0,0,103010,32.68%,
,,,,,,,,,,,,,
,,,N,SSP,,,,1,0,1,18411,5.84%,
,,,,,,,,,,,,,
,,,Z,IND,,,,6,1,4,102610,32.56%,
,,,,,,,,,,,,,
State/UT,"total (Contestants,",Seats,"Won, FD","in Seats,",Valid,Votes),:,10,2,5,315162,,
,,,,,,,,,,,,,
,Pondicherry,,1,,,,,,,,,,
,,,,,,,,,,,,,
,,,N,INC,,,,1,1,0,63286,39.83%,
,,,,,,,,,,,,,
,,,U,PFR,,,,1,0,0,42725,26.89%,
,,,,,,,,,,,,,
,,,Z,IND,,,,1,0,0,52861,33.27%,
,,,,,,,,,,,,,
State/UT,"total (Contestants,",Seats,"Won, FD","in Seats,",Valid,Votes),:,3,1,0,158872,,
,,,,,,,,,,,,,
,Tripura,,2,,,,,,,,,,
,,,,,,,,,,,,,
,,,N,CPM,,,,2,0,0,183175,41.75%,
,,,,,,,,,,,,,
,,,N,INC,,,,2,2,0,255583,58.25%,
,,,,,,,,,,,,,
State/UT,"total (Contestants,",Seats,"Won, FD","in Seats,",Valid,Votes),:,4,2,0,438758,,
,,,,,,,,,,,,,
,,Gra,nd Total,:,,,,2369,520,1203,145866510,,
,,,,,,,,,,,,,
"onal Party, S","- State Party, U -",Regis,tered (U,nrecogni,sed) P,"arty, Z",-,Independent,,,,,
,,,,,,,,,,,,,
PolledinStates,/UTsbyParties - Pag,e 8 of,8),,,,,,,,99,,
