El,ection,Commission of,India - Gen,eral Elections,", 1962 (3rd",LOK SAB,HA),,,,
,,,,,,,,,,,
VOTES PO,LL,ED IN S,TAT,ES BY,PART,IES,,,,,
,,,,,,,,,,,
"STATE/UT,",,,,SEATS,,,VOTES %,OF,,,
NUMBER OF,,PARTY,,CONT- SE,ATS FD,IN P,OLLED VO,TES,,,
CONSTITUENCIES,,,,ESTED W,ON SEA,TS BY,PARTY POL,LED,,,
,,,,,,,,,,,
1,,2,,3,4 5,,6,7,,,
,,,,,,,,,,,
Andhra Pradesh,43,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 88,26,33,6419142,
,,,,,,,,,,,
,,Orrisa,20,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,2,0,0,100577,5.11%
,,,,,,,,,,,
,,,,INC,,,20,14,0,1093297,55.53%
,,,,,,,,,,,
,,,,PSP,,,5,1,0,305116,15.50%
,,,,,,,,,,,
,,,,SOC,,,3,1,2,52633,2.67%
,,,,,,,,,,,
,,,,SWA,,,1,0,0,22743,1.16%
,,,,,,,,,,,
,,,,GP,,,10,4,0,342970,17.42%
,,,,,,,,,,,
,,,,IND,,,8,0,8,51629,2.62%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 49,20,10,1968965,
,,,,,,,,,,,
,,Punjab,22,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,4,0,0,320588,4.72%
,,,,,,,,,,,
,,,,INC,,,22,14,0,2802692,41.30%
,,,,,,,,,,,
,,,,JS,,,17,3,10,1029831,15.18%
,,,,,,,,,,,
,,,,SOC,,,1,1,0,152369,2.25%
,,,,,,,,,,,
ledinState,s/UTs,byParties - Page 3,of 5),,,,,,7,3,
"GENERAL ELECTIONS - INDIA, 1962",,,,,VOT,ES POLLE,D IN STA,TES BY PAR,TIES,,
,,,,,,,,,,,
"STATE/UT,",,,,,SEATS,,,VOTES %,OF,,
NUMBER OF,,PARTY,,,CONT- SE,ATS FD,IN P,OLLED VO,TES,,
CONSTITUENCIES,,,,,ESTED W,ON SEA,TS BY,PARTY POL,LED,,
,,,,,,,,,,,
1,,2,,,3,4 5,,6,7,,
,,,,,,,,,,,
Punjab,22,,,,,,,,,,
,,,,,,,,,,,
,,SWA,,,6,0,4,290584,4.28%,,
,,,,,,,,,,,
,,AD,,,7,3,1,829129,12.22%,,
,,,,,,,,,,,
,,REP,,,7,0,4,424324,6.25%,,
,,,,,,,,,,,
,,RRP,,,3,0,3,15262,0.22%,,
,,,,,,,,,,,
,,HLS,,,1,1,0,118667,1.75%,,
,,,,,,,,,,,
,,IND,,,39,0,36,802191,11.82%,,
,,,,,,,,,,,
"State/UT total (Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 107,22,58,6785637,,,
,,,,,,,,,,,
Rajasthan,22,,,,,,,,,,
,,,,,,,,,,,
,,CPI,,,5,0,3,155380,2.99%,,
,,,,,,,,,,,
,,INC,,,21,14,1,1951507,37.58%,,
,,,,,,,,,,,
,,JS,,,11,1,4,482138,9.28%,,
,,,,,,,,,,,
,,SOC,,,6,0,4,191823,3.69%,,
,,,,,,,,,,,
,,SWA,,,10,3,1,940106,18.10%,,
,,,,,,,,,,,
,,HMS,,,2,0,2,11440,0.22%,,
,,,,,,,,,,,
,,RRP,,,7,1,5,191497,3.69%,,
,,,,,,,,,,,
,,IND,,,49,3,40,1269061,24.44%,,
,,,,,,,,,,,
"State/UT total (Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 111,22,60,5192952,,,
,,,,,,,,,,,
Uttar Pradesh,86,,,,,,,,,,
,,,,,,,,,,,
,,CPI,,,18,2,8,650255,3.63%,,
,,,,,,,,,,,
,,INC,,,86,62,1,6842472,38.20%,,
,,,,,,,,,,,
,,JS,,,74,7,33,3147293,17.57%,,
,,,,,,,,,,,
,,PSP,,,48,2,23,1851857,10.34%,,
,,,,,,,,,,,
,,SOC,,,51,1,35,1546869,8.64%,,
,,,,,,,,,,,
,,SWA,,,33,3,26,903094,5.04%,,
,,,,,,,,,,,
,,HMS,,,14,1,12,249054,1.39%,,
,,,,,,,,,,,
,,REP,,,22,3,15,763788,4.26%,,
,,,,,,,,,,,
,,RRP,,,11,0,11,129391,0.72%,,
,,,,,,,,,,,
,,IND,,,86,5,70,1825983,10.20%,,
,,,,,,,,,,,
"State/UT total (Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 443,86,234,17910056,,,
,,,,,,,,,,,
West Bengal,36,,,,,,,,,,
,,,,,,,,,,,
,,CPI,,,24,9,0,2859731,29.38%,,
,,,,,,,,,,,
,,INC,,,36,22,0,4553677,46.79%,,
,,,,,,,,,,,
,,JS,,,4,0,4,102184,1.05%,,
,,,,,,,,,,,
,,PSP,,,12,0,5,441656,4.54%,,
,,,,,,,,,,,
,,SOC,,,1,0,1,3554,0.04%,,
,,,,,,,,,,,
,,SWA,,,4,0,3,99293,1.02%,,
,,,,,,,,,,,
,,FB,,,6,1,1,615395,6.32%,,
,,,,,,,,,,,
,,HMS,,,7,0,6,101171,1.04%,,
,,,,,,,,,,,
,,GL,,,1,0,0,46127,0.47%,,
,,,,,,,,,,,
,,LSS,,,1,1,0,68295,0.70%,,
,,,,,,,,,,,
(rptVotesPolledinStates/UTsbyParties - Page 4,of 5),,,,,,7,4,,,
ELECTI,ONS -,"INDIA, 1962",,,,,VO,TES POLLE,D IN ST,ATES BY PAR,TIES
,,,,,,,,,,,
,STAT,"E/UT,",,,,,SEATS,,,VOTES %,OF
N,UMB,ER OF,,PARTY,,,CONT- S,EATS FD,IN,POLLED VO,TES
CONSTI,TUE,NCIES,,,,,ESTED,WON SEA,TS B,Y PARTY POL,LED
,,,,,,,,,,,
,1,,,2,,,3,4 5,,6,7
,,,,,,,,,,,
,Wes,t Bengal,36,,,,,,,,
,,,,,,,,,,,
,,,,RSP,,,2,1,0,252340,2.59%
,,,,,,,,,,,
,,,,IND,,,14,2,10,589761,6.06%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 112,36,30,9733184,
,,,,,,,,,,,
,,Delhi,5,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,1,0,1,19135,2.14%
,,,,,,,,,,,
,,,,INC,,,5,5,0,453174,50.68%
,,,,,,,,,,,
,,,,JS,,,5,0,0,292016,32.66%
,,,,,,,,,,,
,,,,PSP,,,1,0,1,1048,0.12%
,,,,,,,,,,,
,,,,HMS,,,1,0,1,4400,0.49%
,,,,,,,,,,,
,,,,REP,,,1,0,1,28072,3.14%
,,,,,,,,,,,
,,,,IND,,,14,0,13,96304,10.77%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 28,5,17,894149,
,,,,,,,,,,,
Hima,chal,Pradesh,4,,,,,,,,
,,,,,,,,,,,
,,,,INC,,,4,4,0,166749,68.65%
,,,,,,,,,,,
,,,,JS,,,2,0,2,10896,4.49%
,,,,,,,,,,,
,,,,SWA,,,2,0,0,31049,12.78%
,,,,,,,,,,,
,,,,REP,,,1,0,0,15941,6.56%
,,,,,,,,,,,
,,,,IND,,,2,0,1,18273,7.52%
,,,,,,,,,,,
