"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED
,,N,BJP,,,,20,0,5,2199042,10.07%
,,,,,,,,,,,
,,N,CPI,,,,2,0,1,208211,0.95%
,,,,,,,,,,,
,,N,CPM,,,,2,0,0,317902,1.46%
,,,,,,,,,,,
,,N,ICS,,,,15,2,0,2640341,12.10%
,,,,,,,,,,,
,,N,INC,,,,47,43,1,11183424,51.24%
,,,,,,,,,,,
,,N,JNP,,,,15,1,5,1666748,7.64%
,,,,,,,,,,,
,,N,LKD,,,,13,0,13,79752,0.37%
,,,,,,,,,,,
,,S,PWP,,,,3,1,0,463963,2.13%
"ELECTIONS - INDIA, 1",984,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
MAHARASHTRA,,48,,,,,,,,,
,,,,,,,,,,,
,,U,RPI,,,,2,0,2,22877,0.10%
,,,,,,,,,,,
,,U,RPK,,,,2,0,1,165320,0.76%
,,,,,,,,,,,
,,Z,IND,,,,377,1,371,2880047,13.19%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,498,48,399,21827627,
,,,,,,,,,,,
MANIPUR,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,1,58521,6.96%
,,,,,,,,,,,
,,N,CPI,,,,1,0,0,79520,9.45%
,,,,,,,,,,,
,,N,ICS,,,,1,0,1,34868,4.14%
,,,,,,,,,,,
,,N,INC,,,,2,2,0,294002,34.95%
,,,,,,,,,,,
,,N,LKD,,,,1,0,1,7031,0.84%
,,,,,,,,,,,
,,S,MRP,,,,1,0,0,149019,17.71%
,,,,,,,,,,,
,,Z,IND,,,,7,0,6,218251,25.94%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,14,2,9,841212,
,,,,,,,,,,,
