Election,Commission,of,India,- General Elections,", 1989(9th LOK",SABHA),,,,,
,,,,,,,,,,,
VOTES P,OLLE,,D I,N STAT,ES BY,PART,IES,,,,
,,,,,,,,,,,
"STATE/UT,",,,,,SEATS,,,VOTES,% OF,,
NUMBER OF P,ARTY P,A,RTY,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,TYPE,,,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,
,,,,,,,,,,,
MMU & KASHMIR,,6,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,2,0,2,74832,7.15%
,,,,,,,,,,,
,,N,INC,,,,3,2,0,407474,38.95%
,,,,,,,,,,,
,,N,JD,,,,2,0,0,314357,30.05%
,,,,,,,,,,,
,,N,JNP (JP),,,,1,0,1,11049,1.06%
,,,,,,,,,,,
,,S,JKN,,,,3,3,0,71194,6.81%
,,,,,,,,,,,
,,S,JPP,,,,1,0,1,22625,2.16%
,,,,,,,,,,,
,,U,BSP,,,,1,0,1,42453,4.06%
,,,,,,,,,,,
,,U,PBI,,,,1,0,1,1718,0.16%
,,,,,,,,,,,
,,Z,IND,,,,49,1,48,100419,9.60%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,63,6,54,1046121,
,,,,,,,,,,,
KARNATAKA,,28,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,5,0,4,470307,2.55%
"ELECTIONS - INDIA, 1989",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
KARNATAKA,28,,,,,,,,,,
,,,,,,,,,,,
,N,CPI,1,0,0,141838,0.77%,,,,
,,,,,,,,,,,
,N,INC,28,27,0,9008980,48.90%,,,,
,,,,,,,,,,,
,N,JD,27,1,3,5220311,28.34%,,,,
,,,,,,,,,,,
,N,JNP (JP),26,0,21,1951730,10.59%,,,,
,,,,,,,,,,,
,N,LKD (B),4,0,4,9641,0.05%,,,,
,,,,,,,,,,,
,S,MUL,4,0,4,50207,0.27%,,,,
,,,,,,,,,,,
,U,DMM,1,0,1,4672,0.03%,,,,
,,,,,,,,,,,
,U,KGP,1,0,1,1915,0.01%,,,,
,,,,,,,,,,,
,U,KRS,10,0,10,495565,2.69%,,,,
,,,,,,,,,,,
,U,RPI,2,0,2,15266,0.08%,,,,
,,,,,,,,,,,
,U,RPK,3,0,2,232281,1.26%,,,,
,,,,,,,,,,,
,U,SVP,2,0,2,3470,0.02%,,,,
,,,,,,,,,,,
,Z,IND,128,0,126,816830,4.43%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",242,28,180,18423013,,,,,
,,,,,,,,,,,
KERALA,20,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,20,0,20,672613,4.51%,,,,
,,,,,,,,,,,
,N,CPI,3,0,0,924994,6.20%,,,,
,,,,,,,,,,,
,N,CPM,10,2,0,3411227,22.87%,,,,
,,,,,,,,,,,
,N,ICS(SCS),1,1,0,370434,2.48%,,,,
,,,,,,,,,,,
,N,INC,17,14,0,6218850,41.70%,,,,
,,,,,,,,,,,
,N,JD,1,0,0,277682,1.86%,,,,
,,,,,,,,,,,
,N,JNP (JP),17,0,17,38492,0.26%,,,,
,,,,,,,,,,,
,S,KEC,1,0,1,68811,0.46%,,,,
,,,,,,,,,,,
,S,MUL,2,2,0,780322,5.23%,,,,
,,,,,,,,,,,
,S,RSP,1,0,0,359393,2.41%,,,,
,,,,,,,,,,,
,U,BSP,8,0,8,17762,0.12%,,,,
,,,,,,,,,,,
,U,DKP,3,0,3,3059,0.02%,,,,
,,,,,,,,,,,
,U,KCM,1,1,0,352191,2.36%,,,,
,,,,,,,,,,,
,U,SUC,1,0,1,2151,0.01%,,,,
,,,,,,,,,,,
,Z,IND,132,0,128,1414560,9.49%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",218,20,178,14912541,,,,,
,,,,,,,,,,,
ADHYA PRADESH,40,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,33,27,1,7802460,39.66%,,,,
,,,,,,,,,,,
,N,CPI,3,0,2,110888,0.56%,,,,
,,,,,,,,,,,
,N,CPM,1,0,1,8888,0.05%,,,,
,,,,,,,,,,,
,N,INC,40,8,0,7420935,37.72%,,,,
,,,,,,,,,,,
,N,JD,11,4,4,1628914,8.28%,,,,
,,,,,,,,,,,
,N,JNP (JP),6,0,6,23827,0.12%,,,,
,,,,,,,,,,,
,N,LKD (B),14,0,14,36363,0.18%,,,,
,,,,,,,,,,,
,S,FBL,1,0,1,8135,0.04%,,,,
,,,,,,,,,,,
,S,MUL,1,0,1,274,0.00%,,,,
"ELECTIONS - INDIA, 1989",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
ADHYA PRADESH,40,,,,,,,,,,
,,,,,,,,,,,
,S,RSP,1,0,1,8986,0.05%,,,,
,,,,,,,,,,,
,U,BSP,35,0,32,842972,4.28%,,,,
,,,,,,,,,,,
,U,DDP,30,0,30,250639,1.27%,,,,
,,,,,,,,,,,
,U,RPI,2,0,2,10678,0.05%,,,,
,,,,,,,,,,,
,U,RPK,5,0,5,24640,0.13%,,,,
,,,,,,,,,,,
,U,SOP(L),1,0,1,7237,0.04%,,,,
,,,,,,,,,,,
,Z,IND,306,1,303,1488577,7.57%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",490,40,404,19674413,,,,,
,,,,,,,,,,,
MAHARASHTRA,48,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,33,10,6,6534309,23.72%,,,,
,,,,,,,,,,,
,N,CPI,3,1,1,533340,1.94%,,,,
,,,,,,,,,,,
,N,CPM,2,0,0,338996,1.23%,,,,
,,,,,,,,,,,
,N,ICS(SCS),6,0,5,208937,0.76%,,,,
,,,,,,,,,,,
,N,INC,48,28,0,12496088,45.36%,,,,
,,,,,,,,,,,
,N,JD,23,5,11,3015418,10.95%,,,,
,,,,,,,,,,,
,N,JNP (JP),1,0,1,3946,0.01%,,,,
,,,,,,,,,,,
,N,LKD (B),10,0,10,9903,0.04%,,,,
,,,,,,,,,,,
,S,PWP,5,0,2,636589,2.31%,,,,
,,,,,,,,,,,
,U,BRP,11,0,9,572434,2.08%,,,,
,,,,,,,,,,,
,U,BSP,30,0,30,181517,0.66%,,,,
,,,,,,,,,,,
,U,DDP,40,0,40,130842,0.47%,,,,
,,,,,,,,,,,
,U,DMM,3,0,3,22461,0.08%,,,,
,,,,,,,,,,,
